policy,spending
defense,1
defense,1
defense,1
defense,
defense,1
defense,
defense,2
defense,2
defense,
defense,1
defense,2
defense,2
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,1
defense,2
defense,
defense,
defense,1
defense,1
defense,2
defense,1
defense,1
defense,1
defense,
defense,1
defense,2
defense,1
defense,1
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,
defense,1
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,2
defense,1
defense,1
defense,2
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,1
defense,1
defense,
defense,
defense,2
defense,2
defense,
defense,
defense,1
defense,
defense,1
defense,2
defense,2
defense,1
defense,
defense,1
defense,
defense,2
defense,2
defense,
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,1
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,2
defense,2
defense,1
defense,
defense,1
defense,2
defense,2
defense,
defense,1
defense,1
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,1
defense,1
defense,
defense,2
defense,3
defense,
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,2
defense,1
defense,
defense,
defense,2
defense,1
defense,
defense,1
defense,1
defense,
defense,1
defense,
defense,1
defense,2
defense,
defense,2
defense,
defense,3
defense,
defense,2
defense,2
defense,2
defense,1
defense,
defense,
defense,
defense,2
defense,1
defense,
defense,
defense,
defense,1
defense,2
defense,1
defense,
defense,1
defense,3
defense,
defense,
defense,2
defense,
defense,
defense,
defense,
defense,1
defense,2
defense,
defense,2
defense,3
defense,
defense,1
defense,2
defense,
defense,1
defense,
defense,1
defense,
defense,2
defense,2
defense,
defense,2
defense,
defense,
defense,1
defense,1
defense,1
defense,2
defense,2
defense,
defense,2
defense,
defense,2
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,2
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,1
defense,1
defense,1
defense,1
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,3
defense,1
defense,
defense,
defense,1
defense,
defense,
defense,
defense,2
defense,
defense,2
defense,
defense,2
defense,2
defense,
defense,
defense,1
defense,
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,2
defense,2
defense,
defense,1
defense,1
defense,
defense,
defense,2
defense,
defense,
defense,2
defense,2
defense,1
defense,
defense,1
defense,
defense,
defense,1
defense,2
defense,
defense,
defense,
defense,1
defense,1
defense,1
defense,3
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,1
defense,
defense,
defense,1
defense,2
defense,1
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,2
defense,
defense,2
defense,
defense,2
defense,
defense,
defense,1
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,2
defense,1
defense,2
defense,
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,1
defense,
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,2
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,1
defense,2
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,1
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,2
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,
defense,1
defense,
defense,
defense,
defense,3
defense,
defense,2
defense,
defense,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,1
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,3
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,1
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,1
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,1
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,1
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,1
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,1
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,1
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,1
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
