stfgov,stflife,stfeco,stfdem,reform,education,edulevel,male,age,edulevel.1,society,polinterest,tv,religious,ideology,family,prosp,absdate,difdate,pdwrk,unempl,hswrk,Treatment,pscores,distance,weights
5,8,7,8,1,0,2,0,55,2,7,2,2,5,5,0,0,7,7,1,0,0,Treated,0.4286338047081106,0.4286338047081106,1
5,10,6,8,0,0,6,0,46,6,7,3,3,2,6,1,0,4,-4,1,0,0,Control,0.4180536709112517,0.4180536709112517,1
8,6,8,9,1,0,6,1,46,6,6,4,1,5,7,0,0,25,25,1,0,0,Treated,0.4629554885605086,0.4629554885605086,1
5,9,4,8,1,0,3,0,56,3,8,3,3,6,6,1,0,14,14,1,0,1,Treated,0.4171803447029712,0.4171803447029712,1
10,9,4,6,1,0,7,1,38,7,8,3,1,6,5,0,1,30,30,1,0,1,Treated,0.4857748412903082,0.4857748412903082,1
2,10,10,2,1,0,1,0,61,1,9,3,2,6,10,0,0,13,13,1,0,0,Treated,0.4404388759079347,0.4404388759079347,1
7,9,7,9,1,0,5,0,48,5,5,4,3,6,3,1,0,23,23,1,0,1,Treated,0.4385936052856439,0.4385936052856439,1
0,5,0,2,1,0,4,0,48,4,1,3,2,2,7,0,0,20,20,0,0,1,Treated,0.44771733672398306,0.44771733672398306,1
5,10,5,8,0,0,1,1,84,1,5,2,2,5,6,0,0,28,-28,0,0,0,Control,0.2885414777603521,0.2885414777603521,1
2,9,6,7,0,0,2,1,59,2,5,2,0,1,10,0,0,22,-22,1,0,0,Control,0.41518857087503175,0.41518857087503175,1
3,8,4,7,0,1,2,0,19,2,4,3,5,4,4,0,1,25,-25,0,0,1,Control,0.4228410977654668,0.4228410977654668,1
4,9,7,8,0,0,6,1,66,6,6,3,3,3,9,0,0,8,-8,1,0,0,Control,0.32435750826227777,0.32435750826227777,1
0,9,1,6,0,0,5,0,38,5,6,3,1,0,10,0,1,20,-20,1,0,1,Control,0.5029548168418387,0.5029548168418387,1
2,8,3,6,1,0,3,1,54,3,5,3,2,5,3,1,0,13,13,0,0,1,Treated,0.40182401183012306,0.40182401183012306,1
7,8,4,7,1,0,5,1,38,5,6,1,1,2,3,0,1,14,14,1,0,1,Treated,0.44797315197941523,0.44797315197941523,1
4,8,5,5,0,0,2,0,50,2,5,2,3,5,7,0,1,6,-6,1,0,1,Control,0.44460411836435687,0.44460411836435687,1
2,9,4,5,1,1,4,1,24,4,9,2,3,3,5,1,0,22,22,0,0,0,Treated,0.38567824322885336,0.38567824322885336,1
3,9,4,8,0,0,6,0,29,6,9,4,2,4,5,0,0,16,-16,1,0,0,Control,0.5335533705215407,0.5335533705215407,1
8,8,6,8,1,0,5,1,29,5,8,4,2,2,6,0,0,16,16,1,0,0,Treated,0.5047029961092976,0.5047029961092976,1
5,8,3,7,0,0,7,0,27,7,8,3,1,4,2,0,0,28,-28,1,0,0,Control,0.536208549731847,0.536208549731847,1
7,9,7,9,0,1,4,0,24,4,7,3,2,2,7,0,0,12,-12,1,0,0,Control,0.43755199218165824,0.43755199218165824,1
6,8,5,10,1,0,2,1,32,2,5,2,2,0,5,0,0,28,28,0,1,1,Treated,0.47848463628367227,0.47848463628367227,1
2,7,7,7,1,0,7,1,37,7,6,4,1,1,2,0,0,27,27,0,1,1,Treated,0.44841389542455035,0.44841389542455035,1
1,9,5,2,0,0,7,0,36,7,7,3,1,1,1,0,0,13,-13,1,0,0,Control,0.46673552730947654,0.46673552730947654,1
0,10,2,3,0,0,4,1,73,4,5,4,3,0,0,0,0,6,-6,0,0,0,Control,0.2610926024522095,0.2610926024522095,1
5,10,4,4,0,0,7,0,65,7,8,3,3,7,7,0,0,29,-29,1,0,0,Control,0.363466623500958,0.363466623500958,1
3,9,6,8,1,0,6,0,58,6,6,4,3,5,0,0,0,22,22,1,0,1,Treated,0.3654394869180105,0.3654394869180105,1
7,10,7,8,1,0,6,0,66,6,8,4,4,8,8,0,0,28,28,0,0,1,Treated,0.3647904571348498,0.3647904571348498,1
7,8,6,9,1,0,6,1,30,6,8,3,3,7,5,1,0,23,23,1,0,1,Treated,0.5012421857510607,0.5012421857510607,1
8,8,5,8,1,0,2,0,42,2,5,2,3,5,2,0,0,20,20,0,0,0,Treated,0.46086378161165276,0.46086378161165276,1
6,9,5,10,1,0,7,1,53,7,8,3,4,4,7,0,0,51,51,1,0,0,Treated,0.3560179762685673,0.3560179762685673,1
1,10,5,4,1,0,3,1,39,3,6,3,1,0,5,0,1,36,36,1,0,0,Treated,0.46275472422170555,0.46275472422170555,1
4,7,5,6,1,1,1,0,16,1,6,1,0,4,3,0,1,2,2,0,0,0,Treated,0.5159572970162439,0.5159572970162439,1
2,8,5,9,1,0,6,1,66,6,5,3,3,2,3,0,0,58,58,0,0,0,Treated,0.29572653134488475,0.29572653134488475,1
7,8,4,9,0,0,6,0,48,6,6,3,3,5,4,1,1,4,-4,1,0,1,Control,0.42236137722257233,0.42236137722257233,1
3,8,8,9,1,0,3,1,48,3,6,3,2,0,5,1,0,13,13,1,0,1,Treated,0.40192123640151156,0.40192123640151156,1
3,10,8,9,1,0,6,1,41,6,5,3,2,6,7,0,1,55,55,1,0,1,Treated,0.4702485199605793,0.4702485199605793,1
6,10,4,7,0,1,2,0,25,2,10,2,2,2,3,1,0,20,-20,0,0,0,Control,0.4187056215618451,0.4187056215618451,1
6,9,9,9,0,0,3,1,51,3,6,3,3,8,6,0,0,12,-12,1,0,1,Control,0.431961343708209,0.431961343708209,1
7,5,7,7,1,0,1,1,61,1,6,2,3,1,4,0,0,22,22,0,0,1,Treated,0.3344151041765179,0.3344151041765179,1
3,8,5,3,0,0,2,0,62,2,7,2,2,5,6,0,0,19,-19,0,0,0,Control,0.40006652338392207,0.40006652338392207,1
0,7,3,9,1,1,1,0,18,1,9,2,5,0,0,0,0,20,20,0,0,0,Treated,0.3777510694221035,0.3777510694221035,1
7,9,6,7,1,0,3,0,53,3,8,3,2,8,8,0,0,16,16,1,0,0,Treated,0.4732165225493413,0.4732165225493413,1
5,9,5,5,1,0,4,0,43,4,8,2,6,6,8,1,1,15,15,1,0,0,Treated,0.42080040209043307,0.42080040209043307,1
4,7,4,6,0,1,2,1,19,2,7,2,1,3,6,0,1,21,-21,1,0,0,Control,0.4632132203865727,0.4632132203865727,1
6,9,7,8,0,0,6,1,75,6,6,4,2,2,5,0,0,32,-32,0,0,0,Control,0.2871884978995405,0.2871884978995405,1
6,7,7,6,0,0,6,0,57,6,6,4,2,6,3,0,0,8,-8,1,0,0,Control,0.4072617419579152,0.4072617419579152,1
7,9,7,9,1,0,6,0,28,6,8,2,2,4,3,1,1,15,15,1,0,0,Treated,0.5170029077203506,0.5170029077203506,1
5,9,7,10,1,0,1,1,16,1,8,3,2,5,8,0,1,20,20,1,0,0,Treated,0.6149701829779765,0.6149701829779765,1
5,7,5,9,0,0,4,1,46,4,6,3,2,6,7,0,1,15,-15,1,0,0,Control,0.45772792539422624,0.45772792539422624,1
3,9,7,6,1,0,6,0,25,6,8,2,2,5,3,1,1,2,2,1,0,1,Treated,0.5388909452880014,0.5388909452880014,1
6,7,6,8,1,0,5,0,45,5,6,3,2,6,6,0,1,1,1,1,0,1,Treated,0.47729601541802763,0.47729601541802763,1
3,9,7,9,1,0,3,1,44,3,6,3,4,5,6,0,1,30,30,1,0,1,Treated,0.4252724084626506,0.4252724084626506,1
5,8,3,5,1,0,3,0,30,3,5,2,1,5,5,0,0,59,59,1,0,0,Treated,0.5626992862087531,0.5626992862087531,1
5,8,6,8,1,0,4,0,34,4,7,2,1,8,6,0,1,2,2,1,0,0,Treated,0.5623529803849118,0.5623529803849118,1
2,10,3,7,1,0,6,0,43,6,7,2,2,6,9,0,1,34,34,1,0,0,Treated,0.48678391121426756,0.48678391121426756,1
6,9,7,9,0,0,4,0,49,4,8,4,2,5,7,1,0,28,-28,1,0,0,Control,0.46629966313968657,0.46629966313968657,1
5,9,4,9,0,0,3,1,40,3,7,3,2,2,8,0,1,15,-15,1,0,1,Control,0.4669339143202519,0.4669339143202519,1
5,8,7,7,0,0,7,1,35,7,8,3,3,0,3,0,1,27,-27,1,0,1,Control,0.4108533414820033,0.4108533414820033,1
6,10,7,9,1,0,6,0,52,6,6,3,3,6,9,0,0,22,22,1,0,1,Treated,0.4325386882814015,0.4325386882814015,1
2,7,2,7,1,0,3,1,20,3,3,2,2,3,4,1,0,36,36,1,0,0,Treated,0.5495806805025416,0.5495806805025416,1
7,8,6,9,1,0,5,1,48,5,6,4,2,6,7,1,0,21,21,1,0,1,Treated,0.4485541055751443,0.4485541055751443,1
3,9,7,8,1,0,6,0,48,6,7,3,2,2,7,1,1,20,20,1,0,1,Treated,0.43098656215591136,0.43098656215591136,1
6,8,7,8,1,0,5,0,48,5,7,3,2,7,8,0,1,44,44,1,0,1,Treated,0.47836328957640156,0.47836328957640156,1
8,9,8,8,1,0,5,1,66,5,6,4,2,4,8,0,0,13,13,0,0,1,Treated,0.35506694317563947,0.35506694317563947,1
5,10,7,8,1,1,2,0,18,2,7,3,2,1,7,0,0,28,28,0,0,1,Treated,0.4712916089733582,0.4712916089733582,1
2,8,4,9,1,1,6,1,25,6,9,3,2,0,10,0,0,27,27,0,0,0,Treated,0.3931983481490536,0.3931983481490536,1
2,8,2,8,1,0,1,1,16,1,7,3,2,4,6,0,1,15,15,0,0,0,Treated,0.6000912457804052,0.6000912457804052,1
5,8,4,5,0,1,4,1,30,4,6,3,2,2,2,1,0,1,-1,0,0,0,Control,0.36456586722852924,0.36456586722852924,1
6,5,3,8,0,1,6,0,36,6,5,4,3,3,5,0,0,29,-29,0,0,1,Control,0.35883196420159547,0.35883196420159547,1
5,9,6,7,0,1,2,0,19,2,7,3,2,2,4,0,1,33,-33,0,0,0,Control,0.46051843115521335,0.46051843115521335,1
7,10,8,10,0,0,3,1,45,3,8,4,6,4,7,0,1,37,-37,1,0,1,Control,0.3870814960967516,0.3870814960967516,1
2,10,2,8,1,0,6,0,56,6,7,3,3,5,6,0,0,56,56,1,0,0,Treated,0.39283667347406614,0.39283667347406614,1
1,9,6,7,1,1,2,1,20,2,5,3,2,0,3,0,0,27,27,0,0,0,Treated,0.41320559948150964,0.41320559948150964,1
9,10,8,10,0,0,1,1,72,1,6,2,2,5,8,0,0,35,-35,0,0,0,Control,0.3458660823577218,0.3458660823577218,1
6,8,6,5,1,0,5,0,62,5,8,3,3,5,4,0,0,31,31,1,0,0,Treated,0.3622350213782289,0.3622350213782289,1
1,9,3,8,1,0,3,1,75,3,8,4,5,7,7,0,0,29,29,0,0,0,Treated,0.29360306159992494,0.29360306159992494,1
7,8,5,9,0,0,3,0,59,3,7,2,2,4,6,0,0,5,-5,1,0,0,Control,0.4009363800504802,0.4009363800504802,1
4,8,4,5,1,0,5,0,20,5,5,2,2,6,2,0,0,2,2,1,0,0,Treated,0.5740906960158265,0.5740906960158265,1
8,10,10,10,0,0,6,0,44,6,8,3,0,2,4,0,1,16,-16,1,0,0,Control,0.4726848617439495,0.4726848617439495,1
10,10,8,10,0,0,3,1,69,3,10,4,2,8,0,0,0,29,-29,0,0,1,Control,0.34484636286840414,0.34484636286840414,1
5,10,6,10,0,0,4,0,21,4,7,2,3,1,2,0,0,12,-12,1,0,0,Control,0.5188654930773049,0.5188654930773049,1
7,10,5,7,0,0,3,0,23,3,7,2,3,2,5,1,0,4,-4,1,0,0,Control,0.5361570889639012,0.5361570889639012,1
4,10,9,5,1,0,3,1,76,3,8,3,5,7,6,0,0,2,2,0,0,0,Treated,0.28055092496399503,0.28055092496399503,1
2,8,5,8,0,0,2,0,49,2,4,3,2,2,5,1,1,20,-20,0,0,1,Control,0.44408430406356203,0.44408430406356203,1
6,8,6,8,1,0,3,1,47,3,6,3,3,5,7,1,0,13,13,1,0,0,Treated,0.43349596490490394,0.43349596490490394,1
6,9,8,8,1,0,6,0,40,6,8,3,2,2,3,0,1,45,45,1,0,0,Treated,0.4508157111518572,0.4508157111518572,1
4,7,6,8,0,0,5,0,66,5,8,4,2,7,8,0,0,1,-1,1,0,1,Control,0.39845437800248307,0.39845437800248307,1
4,5,6,9,0,0,3,1,44,3,6,2,2,2,7,0,1,1,-1,1,0,0,Control,0.43750016154015337,0.43750016154015337,1
8,10,8,9,0,0,2,0,53,2,5,3,3,5,1,0,0,13,-13,0,0,0,Control,0.410630954594499,0.410630954594499,1
2,8,5,7,0,0,6,0,37,6,5,4,3,6,5,0,1,34,-34,1,0,1,Control,0.4943073928204748,0.4943073928204748,1
3,8,4,6,1,0,6,0,56,6,8,3,3,8,7,0,0,59,59,0,0,1,Treated,0.41788748331918346,0.41788748331918346,1
2,8,6,8,1,0,2,1,58,2,7,4,3,0,8,0,0,8,8,1,0,0,Treated,0.3628182713218821,0.3628182713218821,1
4,7,5,5,1,0,7,1,44,7,5,4,3,5,1,0,0,6,6,0,1,0,Treated,0.40460038922260544,0.40460038922260544,1
5,9,7,7,0,0,5,1,34,5,6,3,4,0,6,0,0,12,-12,1,0,0,Control,0.42420244107461486,0.42420244107461486,1
3,10,8,9,0,0,4,0,21,4,8,3,1,7,4,0,0,11,-11,1,0,0,Control,0.6131620748030885,0.6131620748030885,1
5,10,6,7,1,1,4,0,21,4,8,3,1,2,0,1,0,7,7,0,0,0,Treated,0.43847671882903994,0.43847671882903994,1
6,8,3,6,1,0,3,0,47,3,4,3,1,8,1,0,1,1,1,0,0,0,Treated,0.4924831036722982,0.4924831036722982,1
4,9,4,8,0,0,6,0,35,6,6,3,3,1,2,0,1,28,-28,1,0,1,Control,0.44626206675532687,0.44626206675532687,1
4,10,7,6,0,0,5,0,29,5,7,3,2,0,4,0,1,28,-28,0,0,1,Control,0.5005191460749728,0.5005191460749728,1
5,10,6,6,0,1,4,0,23,4,7,3,2,0,7,1,0,15,-15,0,1,0,Control,0.4277229320665191,0.4277229320665191,1
8,7,7,7,0,0,6,0,42,6,7,3,3,7,6,0,1,9,-9,1,0,1,Control,0.47384676471228104,0.47384676471228104,1
5,7,7,8,1,1,4,1,35,4,5,3,2,2,1,0,1,1,1,0,0,0,Treated,0.33910046965835217,0.33910046965835217,1
8,10,6,8,0,0,7,1,64,7,8,4,3,0,4,0,0,1,-1,1,0,1,Control,0.293600949350682,0.293600949350682,1
6,9,5,7,0,0,6,0,66,6,8,4,2,8,3,0,0,9,-9,0,0,1,Control,0.3783921948266917,0.3783921948266917,1
0,10,5,9,1,0,7,0,63,7,6,3,2,8,5,0,0,1,1,1,0,0,Treated,0.38990578476941257,0.38990578476941257,1
5,8,3,8,1,1,4,0,24,4,7,3,1,0,0,0,0,11,11,0,0,0,Treated,0.4105137621394688,0.4105137621394688,1
3,9,2,8,1,1,1,1,16,1,7,3,1,2,5,1,1,44,44,0,1,0,Treated,0.4786267541332106,0.4786267541332106,1
7,9,9,8,0,0,4,0,48,4,7,3,3,8,2,0,1,27,-27,1,0,0,Control,0.44690813980997407,0.44690813980997407,1
2,9,7,3,1,1,4,1,31,4,7,4,2,2,7,1,0,14,-14,0,0,0,Treated,0.3864824068837544,0.3864824068837544,1
8,10,7,7,0,0,7,0,72,7,8,3,2,5,5,0,0,12,-12,0,0,0,Control,0.3279784377052798,0.3279784377052798,1
9,9,9,9,1,0,6,0,50,6,8,3,1,3,6,1,0,35,35,1,0,0,Treated,0.4417693472685894,0.4417693472685894,1
2,8,2,7,1,0,1,1,69,1,2,3,6,2,2,0,0,14,14,0,0,0,Treated,0.2626885159868747,0.2626885159868747,1
6,8,3,9,1,1,7,1,36,7,6,4,3,0,6,0,0,22,22,1,0,0,Treated,0.3140061160170775,0.3140061160170775,1
5,8,6,7,0,0,4,0,23,4,6,1,1,3,6,1,0,18,-18,0,1,1,Control,0.5724454105204594,0.5724454105204594,1
6,9,6,9,0,0,7,1,39,7,8,4,2,0,2,1,1,13,-13,1,0,1,Control,0.41205526831946926,0.41205526831946926,1
5,10,5,9,0,0,5,0,44,5,7,2,3,3,8,1,1,30,-30,1,0,0,Control,0.4431757562583598,0.4431757562583598,1
5,10,5,5,0,0,2,1,53,2,5,2,2,5,5,0,0,24,-24,0,0,0,Control,0.4147233586702383,0.4147233586702383,1
8,10,8,9,1,0,6,0,62,6,9,3,4,0,2,0,0,20,20,1,0,1,Treated,0.29908610885679365,0.29908610885679365,1
0,4,3,3,1,0,3,0,55,3,3,2,2,8,5,0,0,20,20,1,0,1,Treated,0.447477383019302,0.447477383019302,1
7,10,6,8,1,0,6,0,42,6,6,3,1,5,5,0,1,25,25,1,0,0,Treated,0.4921721667708151,0.4921721667708151,1
7,9,8,10,0,0,6,0,48,6,6,3,1,2,3,1,0,5,-5,1,0,1,Control,0.43230348409362723,0.43230348409362723,1
7,9,3,7,0,0,5,0,31,5,5,2,0,6,7,0,1,12,-12,0,1,1,Control,0.5799178101274846,0.5799178101274846,1
1,8,8,10,0,0,3,1,44,3,8,3,2,2,10,0,1,26,-26,1,0,0,Control,0.4557988154714174,0.4557988154714174,1
4,10,4,8,1,0,2,0,72,2,6,3,1,7,7,0,0,8,8,0,0,0,Treated,0.39693446191450815,0.39693446191450815,1
0,10,0,5,0,0,6,0,55,6,7,3,4,2,6,0,0,13,-13,1,0,0,Control,0.35916798837166397,0.35916798837166397,1
3,6,6,7,1,0,3,1,17,3,2,2,1,5,7,1,1,6,6,0,1,0,Treated,0.6099332774976627,0.6099332774976627,1
3,10,5,6,1,0,3,0,86,3,10,2,3,8,1,0,0,2,2,0,0,1,Treated,0.27323655919866474,0.27323655919866474,1
7,7,3,8,1,0,6,1,34,6,6,3,3,3,4,0,1,17,17,1,0,1,Treated,0.4493876532189563,0.4493876532189563,1
3,8,3,8,1,0,7,1,57,7,8,4,5,2,2,0,0,38,38,1,0,0,Treated,0.2960268779987081,0.2960268779987081,1
7,8,8,7,0,0,5,1,37,5,8,3,1,3,6,0,1,8,-8,1,0,1,Control,0.48520403699614195,0.48520403699614195,1
4,8,6,8,1,0,7,0,33,7,7,3,1,4,6,0,1,11,11,1,0,1,Treated,0.525824482386475,0.525824482386475,1
5,8,6,8,0,0,2,1,47,2,6,2,1,3,7,0,0,8,-8,1,0,1,Control,0.4548437537320517,0.4548437537320517,1
6,10,5,8,1,0,1,1,61,1,5,3,5,3,4,0,0,36,36,0,0,0,Treated,0.3214941589739506,0.3214941589739506,1
5,9,6,9,1,0,5,1,67,5,6,4,3,3,7,0,0,8,8,0,0,0,Treated,0.3235243167112274,0.3235243167112274,1
5,8,6,10,1,0,7,1,46,7,7,4,2,5,7,0,1,64,64,1,0,1,Treated,0.4377937368434135,0.4377937368434135,1
4,10,6,8,1,0,4,0,20,4,5,4,2,2,0,0,0,69,69,1,0,1,Treated,0.5552285970302108,0.5552285970302108,1
2,9,1,4,1,1,5,0,26,5,2,2,1,1,9,0,0,62,62,1,0,1,Treated,0.43879808256203967,0.43879808256203967,1
4,8,5,7,1,0,7,1,37,7,8,4,2,6,8,1,1,20,20,1,0,0,Treated,0.4922008298493445,0.4922008298493445,1
6,9,7,9,1,0,6,0,47,6,8,3,2,7,7,0,1,20,20,1,0,0,Treated,0.471791634661266,0.471791634661266,1
5,9,7,10,1,1,4,1,25,4,7,2,2,5,5,0,0,8,8,0,0,0,Treated,0.41446418919220646,0.41446418919220646,1
5,8,7,8,0,0,2,1,53,2,8,3,3,5,7,1,1,8,-8,1,0,0,Control,0.4097068577404395,0.4097068577404395,1
7,10,6,9,0,0,7,1,48,7,8,3,1,9,6,1,0,7,-7,1,0,0,Control,0.4641429235525267,0.4641429235525267,1
3,9,5,8,1,0,3,0,63,3,7,3,1,2,4,0,0,6,6,0,0,0,Treated,0.38369372343365626,0.38369372343365626,1
2,8,2,5,1,0,6,0,75,6,7,4,2,2,6,0,0,16,16,0,0,0,Treated,0.311665010045566,0.311665010045566,1
0,5,0,0,0,0,2,1,22,2,7,4,1,10,5,1,1,14,-14,1,0,0,Control,0.6284381123292011,0.6284381123292011,1
6,9,6,8,0,1,4,0,25,4,6,3,2,3,3,1,0,19,-19,1,0,1,Control,0.42330527172937826,0.42330527172937826,1
6,9,6,8,0,0,6,0,54,6,8,4,2,4,2,1,0,29,-29,1,0,0,Control,0.40117387741384425,0.40117387741384425,1
6,7,7,7,1,1,4,0,20,4,7,2,1,7,4,0,1,2,2,1,0,1,Treated,0.4921548142104029,0.4921548142104029,1
2,7,6,7,1,0,3,1,61,3,5,3,3,3,6,0,0,55,55,1,0,1,Treated,0.3513483456968169,0.3513483456968169,1
3,8,5,10,1,0,6,1,57,6,6,4,2,10,5,0,1,50,50,1,0,0,Treated,0.42003923189281983,0.42003923189281983,1
6,9,7,7,1,0,1,1,32,1,8,3,3,9,5,0,0,49,49,0,1,0,Treated,0.5373353656366506,0.5373353656366506,1
5,7,5,5,1,0,6,0,46,6,7,3,3,1,5,1,1,1,1,1,0,1,Treated,0.4065235833022919,0.4065235833022919,1
5,9,5,7,0,0,6,0,37,6,8,3,3,7,2,0,1,28,-28,1,0,1,Control,0.4794148969148673,0.4794148969148673,1
4,10,5,9,0,0,6,1,77,6,6,4,7,4,6,0,0,20,-20,0,0,1,Control,0.22450128970856856,0.22450128970856856,1
3,7,3,7,0,1,2,1,19,2,7,3,1,2,1,0,1,7,-7,0,0,0,Control,0.4402917397141444,0.4402917397141444,1
7,9,3,9,1,0,7,1,75,7,8,4,2,7,5,0,0,21,21,0,0,0,Treated,0.31186086965241855,0.31186086965241855,1
1,4,2,1,1,0,1,1,41,1,5,2,2,3,4,0,0,22,22,0,1,1,Treated,0.458979099965093,0.458979099965093,1
8,10,5,9,1,0,7,0,65,7,9,4,2,4,4,0,0,18,18,1,0,1,Treated,0.3530133148548131,0.3530133148548131,1
7,8,8,9,0,0,2,0,66,2,6,4,2,4,8,0,0,1,-1,1,0,1,Control,0.3963877475562443,0.3963877475562443,1
6,10,9,10,1,0,2,0,67,2,7,4,4,8,10,0,0,48,48,0,0,0,Treated,0.3926914616642482,0.3926914616642482,1
10,10,10,9,0,0,5,0,35,5,9,2,2,8,5,0,1,17,-17,1,0,1,Control,0.5271574832455093,0.5271574832455093,1
4,8,5,6,0,0,2,1,49,2,4,3,3,1,6,0,1,22,-22,1,0,1,Control,0.3983930005267781,0.3983930005267781,1
3,9,3,5,0,0,3,1,57,3,7,2,2,1,7,0,0,7,-7,1,0,1,Control,0.36912374150730376,0.36912374150730376,1
5,9,5,6,0,0,7,0,53,7,8,3,1,6,3,1,0,2,-2,1,0,1,Control,0.4301083704661316,0.4301083704661316,1
7,9,6,9,0,1,4,0,21,4,5,2,2,4,2,1,0,1,-1,0,0,1,Control,0.4394606807800325,0.4394606807800325,1
2,8,4,8,1,0,2,1,29,2,6,4,2,9,10,0,0,29,29,1,0,0,Treated,0.5935824127420924,0.5935824127420924,1
5,6,5,8,1,0,3,1,57,3,2,2,2,0,5,0,0,39,39,0,0,0,Treated,0.3575160458739895,0.3575160458739895,1
4,8,6,8,0,0,4,1,46,4,7,3,1,4,7,1,1,27,-27,1,0,1,Control,0.46054423304293396,0.46054423304293396,1
5,9,5,8,0,0,6,0,38,6,6,3,2,0,3,0,0,6,-6,1,0,1,Control,0.44721461796621864,0.44721461796621864,1
5,8,6,8,0,0,6,0,55,6,7,3,2,7,10,1,0,35,-35,1,0,1,Control,0.447375207747022,0.447375207747022,1
7,8,3,9,0,0,5,1,35,5,3,3,0,0,1,0,0,7,-7,1,0,0,Control,0.47256157148990685,0.47256157148990685,1
3,7,3,5,1,0,7,1,52,7,7,3,3,10,4,1,1,20,20,1,0,0,Treated,0.408105008775828,0.408105008775828,1
1,7,3,8,1,0,6,1,38,6,6,4,1,3,0,0,1,9,9,1,0,0,Treated,0.455618813740218,0.455618813740218,1
6,8,6,7,0,0,2,0,59,2,8,2,3,6,6,0,0,12,-12,0,1,0,Control,0.4027015199110947,0.4027015199110947,1
4,10,5,6,0,0,5,1,66,5,6,3,1,6,7,0,0,29,-29,0,0,0,Control,0.37566108901257794,0.37566108901257794,1
1,10,5,5,0,0,7,1,81,7,7,4,2,0,8,0,0,28,-28,0,0,0,Control,0.2575038813422277,0.2575038813422277,1
0,7,1,7,1,0,7,0,41,7,7,4,3,4,2,0,1,34,34,1,0,1,Treated,0.4392422846655588,0.4392422846655588,1
3,7,3,8,1,0,3,1,63,3,4,3,2,3,4,0,0,14,14,1,0,0,Treated,0.35188812515431295,0.35188812515431295,1
5,4,4,9,0,0,2,1,52,2,3,3,2,0,3,0,0,29,-29,0,0,1,Control,0.383017098552817,0.383017098552817,1
3,9,4,8,0,0,3,0,56,3,5,3,3,5,5,0,0,20,-20,1,0,1,Control,0.4078698344064114,0.4078698344064114,1
8,7,6,7,1,0,6,0,53,6,4,2,1,2,5,0,0,15,15,0,1,1,Treated,0.41241122477341463,0.41241122477341463,1
6,8,6,8,0,0,6,0,50,6,7,4,3,7,3,0,1,20,-20,1,0,1,Control,0.4287817525836022,0.4287817525836022,1
4,7,0,4,0,1,2,1,24,2,3,2,1,6,0,0,0,25,-25,1,0,0,Control,0.4377741134971347,0.4377741134971347,1
5,8,8,10,1,0,7,1,36,7,8,4,4,0,7,0,1,2,2,1,0,0,Treated,0.41202534757310155,0.41202534757310155,1
9,10,9,8,1,0,2,1,58,2,8,3,2,3,7,0,0,57,57,1,0,0,Treated,0.38991631596517445,0.38991631596517445,1
4,10,8,8,1,0,3,1,68,3,7,3,2,8,9,0,0,34,34,0,0,1,Treated,0.3825199543000608,0.3825199543000608,1
6,8,8,6,1,0,3,1,51,3,4,3,4,8,2,1,0,55,55,1,0,0,Treated,0.39817724144515926,0.39817724144515926,1
5,7,3,8,1,0,4,1,47,4,7,2,2,2,7,0,1,4,4,1,0,1,Treated,0.41646630832995424,0.41646630832995424,1
3,9,9,9,1,0,3,1,60,3,5,2,4,2,4,0,0,44,44,0,1,1,Treated,0.3187436664094758,0.3187436664094758,1
3,10,3,10,1,0,6,0,51,6,5,4,5,5,5,0,0,21,21,1,0,0,Treated,0.3842866943918375,0.3842866943918375,1
7,8,7,9,0,0,6,0,43,6,6,3,2,2,4,0,1,4,-4,0,1,1,Control,0.44237786767607423,0.44237786767607423,1
10,10,6,10,0,0,6,1,70,6,8,4,3,8,5,0,0,21,-21,0,0,0,Control,0.3287462320584378,0.3287462320584378,1
3,10,6,6,0,1,2,0,19,2,5,3,0,2,1,0,1,27,-27,0,0,0,Control,0.4854698348805661,0.4854698348805661,1
7,10,6,10,0,0,6,0,55,6,7,2,2,5,4,0,0,1,-1,1,0,0,Control,0.4002338850062444,0.4002338850062444,1
4,10,4,8,0,1,1,0,16,1,9,1,2,0,7,1,0,1,-1,0,0,0,Control,0.4649849920757603,0.4649849920757603,1
4,5,3,7,1,0,1,0,73,1,6,3,2,10,5,0,0,35,35,0,0,0,Treated,0.39334475653457734,0.39334475653457734,1
4,8,2,8,1,1,2,1,18,2,8,2,1,1,3,1,0,24,24,0,0,0,Treated,0.43926549483727634,0.43926549483727634,1
5,9,6,9,1,0,6,0,42,6,7,2,2,3,2,0,1,23,23,1,0,0,Treated,0.4383730735723057,0.4383730735723057,1
0,9,3,9,0,0,5,1,51,5,9,2,3,2,6,1,1,23,-23,1,0,1,Control,0.36879100928911773,0.36879100928911773,1
2,9,4,9,1,0,1,1,40,1,6,2,5,5,4,0,0,63,63,1,0,1,Treated,0.42307426012586613,0.42307426012586613,1
2,10,7,5,1,0,1,0,66,1,7,3,2,6,7,0,1,8,8,0,0,1,Treated,0.405214955694888,0.405214955694888,1
3,7,7,7,1,0,2,1,55,2,6,3,2,2,5,1,0,9,9,1,0,1,Treated,0.38962577500818324,0.38962577500818324,1
5,4,4,6,1,1,1,0,16,1,4,2,0,4,8,0,1,35,35,0,0,1,Treated,0.546335206450433,0.546335206450433,1
